Arthroderma uncinatum
Aspergillus fischeri
Aspergillus fumigatus
Aspergillus lentulus
Blastomyces gilchristii
Coccidioides immitis
Coccidioides posadasii
Colletotrichum abscissum
Colletotrichum acutatum
Colletotrichum aenigma
Colletotrichum chrysophilum
Colletotrichum costaricense
Colletotrichum fioriniae
Colletotrichum fructicola
Colletotrichum gloeosporioides
Colletotrichum godetiae
Colletotrichum graminicola
Colletotrichum higginsianum
Colletotrichum karsti
Colletotrichum lupini
Colletotrichum navitas
Colletotrichum orchidophilum
Colletotrichum paranaense
Colletotrichum phormii
Colletotrichum scovillei
Colletotrichum siamense
Colletotrichum spaethianum
Colletotrichum tamarilloi
Colletotrichum truncatum
Didymella exigua
Endocarpon pusillum
Exophiala dermatitidis
Exophiala mesophila
Exophiala oligosperma
Exophiala xenobiotica
Fusarium coffeatum
Fusarium flagelliforme
Fusarium poae
Fusarium pseudograminearum
Fusarium venenatum
Gaeumannomyces tritici
Hypoxylon fragiforme
Hypoxylon trugodes
Kalmanozyma brasiliensis
Lasiosphaeria miniovina
Lindgomyces ingoldianus
Microsporum canis
Moesziomyces antarcticus
Neurospora crassa
Neurospora tetrasperma
Ophidiomyces ophidiicola
Penicillium argentinense
Penicillium arizonense
Penicillium bovifimosum
Penicillium canariense
Penicillium canescens
Penicillium cataractarum
Penicillium chrysogenum
Penicillium daleae
Penicillium hordei
Penicillium lagena
Penicillium mononematosum
Penicillium riverlandense
Penicillium rubens
Penicillium solitum
Penicillium soppii
Penicillium subrubescens
Phaeoacremonium minimum
Phialemonium atrogriseum
Podospora anserina
Pseudomassariella vexata
Pseudozyma hubeiensis
Pyricularia grisea
Pyricularia oryzae
Pyricularia pennisetigena
Rhinocladiella mackenziei
Saccharomyces cerevisiae
Saccharomyces eubayanus
Saccharomyces kudriavzevii
Saccharomyces mikatae
Saccharomyces paradoxus
Scedosporium apiospermum
Sodiomyces alkalinus
Sporisorium graminicola
Talaromyces amestolkiae
Talaromyces marneffei
Talaromyces rugulosus
Talaromyces stipitatus
Thermothelomyces thermophilus
Thermothielavioides terrestris
Thyridium curvatum
Trematosphaeria pertusa
Uncinocarpus reesii
Ustilago hordei
Ustilago maydis
Westerdykella ornata
