Lingula anatina	7574	26
Crassostrea gigas	29159	24
Branchiostoma floridae	7739	21
Haliotis rufescens	6454	21
Gigantopelta aegis	1735272	20
Crassostrea virginica	6565	19
Salmo trutta	8032	18
Ostrea edulis	37623	15
Haliotis rubra	36100	15
Carassius auratus	7957	14
Mizuhopecten yessoensis	6573	13
Acipenser ruthenus	7906	13
Patella vulgata	6465	13
Branchiostoma belcheri	7741	12
Salmo salar	8030	12
Octopus sinensis	2607531	12
Pecten maximus	6579	12
Pomacea canaliculata	400727	11
Coregonus clupeaformis	59861	10
Sinocyclocheilus anshuiensis	1608454	10
Petromyzon marinus	7757	10
Esox lucius	8010	10
Octopus bimaculoides	37653	10
Anguilla anguilla	7936	10
Chanos chanos	29144	10
Oncorhynchus kisutch	8019	9
Salvelinus namaycush	8040	9
Micropterus dolomieu	147949	9
Cyprinus carpio	7962	9
Sinocyclocheilus grahami	75366	9
Polyodon spathula	7913	9
Styela clava	7725	9
Oncorhynchus gorbuscha	8017	8
Megalops cyprinoides	118141	8
Tachysurus fulvidraco	1234273	8
Oncorhynchus mykiss	8022	8
Lottia gigantea	225164	8
Oncorhynchus tshawytscha	74940	8
Gasterosteus aculeatus aculeatus	69293	8
Ictalurus punctatus	7998	8
Fundulus heteroclitus	8078	8
Anabas testudineus	64144	8
Betta splendens	158456	7
Colossoma macropomum	42526	7
Solea senegalensis	28829	7
Sinocyclocheilus rhinocerous	307959	7
Poecilia mexicana	48701	7
Oreochromis niloticus	8128	7
Brienomyrus brachyistius	42636	7
Oreochromis aureus	47969	7
Archocentrus centrarchus	63155	7
Salvelinus sp. IW2-2015	2691554	7
Sander lucioperca	283035	7
Sparus aurata	8175	7
Priapulus caudatus	37621	7
Etheostoma spectabile	54343	7
Trematomus bernacchii	40690	7
Hypomesus transpacificus	137520	7
Lates calcarifer	8187	7
Thunnus albacares	8236	7
Thunnus maccoyii	8240	7
Gambusia affinis	33528	7
Melanotaenia boesemani	1250792	7
Monopterus albus	43700	7
Erpetoichthys calabaricus	27687	7
Mastacembelus armatus	205130	7
Xiphophorus hellerii	8084	7
Girardinichthys multiradiatus	208333	7
Aplysia californica	6500	7
Xiphophorus maculatus	8083	7
Kryptolebias marmoratus	37003	7
Cyclopterus lumpus	8103	6
Alosa sapidissima	34773	6
Cottoperca gobio	56716	6
Larimichthys crocea	215358	6
Labrus bergylta	56723	6
