Crinoidea	Anneissia japonica
Demospongiae	Amphimedon queenslandica
Priapulimorpha	Priapulus caudatus
Lingulata	Lingula anatina
Clitellata	Helobdella robusta
Chromadorea	Necator americanus
Chromadorea	Strongyloides ratti
Chromadorea	Caenorhabditis briggsae
Chromadorea	Loa loa
Chromadorea	Brugia malayi
Hydrozoa	Hydra vulgaris
Anthozoa	Xenia sp. Carnegie-2017
Anthozoa	Exaiptasia diaphana
Anthozoa	Nematostella vectensis
Anthozoa	Actinia tenebrosa
Anthozoa	Orbicella faveolata
Anthozoa	Stylophora pistillata
Anthozoa	Pocillopora damicornis
Anthozoa	Acropora digitifera
Anthozoa	Acropora millepora
Cephalopoda	Octopus sinensis
Cephalopoda	Octopus bimaculoides
Bivalvia	Pecten maximus
Bivalvia	Mizuhopecten yessoensis
Bivalvia	Ostrea edulis
Bivalvia	Magallana gigas
Bivalvia	Crassostrea virginica
Gastropoda	Gigantopelta aegis
Gastropoda	Pomacea canaliculata
Gastropoda	Lottia gigantea
Gastropoda	Aplysia californica
Gastropoda	Patella vulgata
Gastropoda	Haliotis rubra
Gastropoda	Haliotis rufescens
Collembola	Folsomia candida
Thecostraca	Pollicipes pollicipes
Merostomata	Limulus polyphemus
Hexanauplia	Eurytemora affinis
Hexanauplia	Lepeophtheirus salmonis
Branchiopoda	Daphnia magna
Branchiopoda	Daphnia pulicaria
Branchiopoda	Daphnia pulex
Malacostraca	Hyalella azteca
Malacostraca	Portunus trituberculatus
Malacostraca	Procambarus clarkii
Malacostraca	Homarus americanus
Malacostraca	Penaeus chinensis
Malacostraca	Penaeus japonicus
Malacostraca	Penaeus monodon
Arachnida	Centruroides sculpturatus
Arachnida	Tetranychus urticae
Arachnida	Dermatophagoides pteronyssinus
Arachnida	Stegodyphus dumicola
Arachnida	Parasteatoda tepidariorum
Arachnida	Galendromus occidentalis
Arachnida	Varroa destructor
Arachnida	Varroa jacobsoni
Arachnida	Ixodes scapularis
Arachnida	Dermacentor silvarum
Arachnida	Dermacentor andersoni
Arachnida	Rhipicephalus sanguineus
Arachnida	Rhipicephalus microplus
Insecta	Ischnura elegans
Insecta	Chrysoperla carnea
Insecta	Ctenocephalides felis
Insecta	Thrips palmi
Insecta	Frankliniella occidentalis
Insecta	Zootermopsis nevadensis
Insecta	Cryptotermes secundus
Insecta	Schistocerca serialis cubense
Insecta	Schistocerca cancellata
Insecta	Schistocerca piceifrons
Insecta	Schistocerca nitens
Insecta	Schistocerca gregaria
Insecta	Schistocerca americana
Insecta	Agrilus planipennis
Insecta	Anoplophora glabripennis
Insecta	Onthophagus taurus
Insecta	Aethina tumida
Insecta	Nicrophorus vespilloides
Insecta	Photinus pyralis
Insecta	Harmonia axyridis
Insecta	Coccinella septempunctata
Insecta	Diabrotica virgifera virgifera
Insecta	Leptinotarsa decemlineata
Insecta	Tribolium madens
Insecta	Tribolium castaneum
Insecta	Anthonomus grandis grandis
Insecta	Dendroctonus ponderosae
Insecta	Sitophilus oryzae
Insecta	Halyomorpha halys
Insecta	Homalodisca vitripennis
Insecta	Adelges cooleyi
Insecta	Diaphorina citri
Insecta	Nilaparvata lugens
Insecta	Cimex lectularius
Insecta	Daktulosphaira vitifoliae
Insecta	Bemisia tabaci
Insecta	Melanaphis sacchari
Insecta	Sipha flava
Insecta	Diuraphis noxia
Insecta	Aphis gossypii
Insecta	Rhopalosiphum maidis
Insecta	Myzus persicae
Insecta	Acyrthosiphon pisum
Insecta	Hyposmocoma kahamanoa
Insecta	Leguminivora glycinivorella
Insecta	Amyelois transitella
Insecta	Aricia agestis
Insecta	Plutella xylostella
Insecta	Pectinophora gossypiella
Insecta	Manduca sexta
Insecta	Bombyx mandarina
Insecta	Bombyx mori
Insecta	Papilio polytes
Insecta	Papilio machaon
Insecta	Papilio xuthus
Insecta	Colias croceus
Insecta	Zerene cesonia
Insecta	Pieris napi
Insecta	Pieris rapae
Insecta	Pieris brassicae
Insecta	Trichoplusia ni
Insecta	Helicoverpa armigera
Insecta	Helicoverpa zea
Insecta	Spodoptera litura
Insecta	Spodoptera frugiperda
Insecta	Danaus plexippus plexippus
Insecta	Nymphalis io
Insecta	Pararge aegeria
Insecta	Melitaea cinxia
Insecta	Maniola hyperantus
Insecta	Maniola jurtina
Insecta	Vanessa tameamea
Insecta	Vanessa cardui
Insecta	Vanessa atalanta
Insecta	Hermetia illucens
Insecta	Contarinia nasturtii
Insecta	Teleopsis dalmanni
Insecta	Bradysia coprophila
Insecta	Glossina fuscipes
Insecta	Lucilia cuprina
Insecta	Stomoxys calcitrans
Insecta	Musca domestica
Insecta	Zeugodacus cucurbitae
Insecta	Ceratitis capitata
Insecta	Rhagoletis zephyria
Insecta	Rhagoletis pomonella
Insecta	Bactrocera latifrons
Insecta	Bactrocera oleae
Insecta	Bactrocera neohumeralis
Insecta	Bactrocera tryoni
Insecta	Bactrocera dorsalis
Insecta	Culex pipiens pallens
