Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica
Porifera	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	Amphimedon queenslandica
Priapulida	Priapulimorpha	Priapulimorphida	Priapulidae	Priapulus	Priapulus caudatus
Brachiopoda	Lingulata	Lingulida	Lingulidae	Lingula	Lingula anatina
Annelida	Clitellata	Rhynchobdellida	Glossiphoniidae	Helobdella	Helobdella robusta
Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Necator	Necator americanus
Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides ratti
Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis briggsae
Nematoda	Chromadorea	Rhabditida	Onchocercidae	Loa	Loa loa
Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia malayi
Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra vulgaris
Cnidaria	Anthozoa	Malacalcyonacea	Xeniidae	Xenia	Xenia sp. Carnegie-2017
Cnidaria	Anthozoa	Actiniaria	Aiptasiidae	Exaiptasia	Exaiptasia diaphana
Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	Nematostella vectensis
Cnidaria	Anthozoa	Actiniaria	Actiniidae	Actinia	Actinia tenebrosa
Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	Orbicella faveolata
Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Stylophora	Stylophora pistillata
Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	Pocillopora damicornis
Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora digitifera
Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora millepora
Mollusca	Cephalopoda	Octopoda	Octopodidae	Octopus	Octopus sinensis
Mollusca	Cephalopoda	Octopoda	Octopodidae	Octopus	Octopus bimaculoides
Mollusca	Bivalvia	Pectinida	Pectinidae	Pecten	Pecten maximus
Mollusca	Bivalvia	Pectinida	Pectinidae	Mizuhopecten	Mizuhopecten yessoensis
Mollusca	Bivalvia	Ostreida	Ostreidae	Ostrea	Ostrea edulis
Mollusca	Bivalvia	Ostreida	Ostreidae	Crassostrea	Crassostrea gigas
Mollusca	Bivalvia	Ostreida	Ostreidae	Crassostrea	Crassostrea virginica
Mollusca	Gastropoda	Neomphalida	Peltospiridae	Gigantopelta	Gigantopelta aegis
Mollusca	Gastropoda	Architaenioglossa	Ampullariidae	Pomacea	Pomacea canaliculata
Mollusca	Gastropoda	Lottiidae	Lottia	Lottia gigantea
Mollusca	Gastropoda	Aplysiida	Aplysiidae	Aplysia	Aplysia californica
Mollusca	Gastropoda	Patellidae	Patella	Patella vulgata
Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis rubra
Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis rufescens
Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida
Arthropoda	Thecostraca	Pollicipedomorpha	Pollicipedidae	Pollicipes	Pollicipes pollicipes
Arthropoda	Merostomata	Xiphosura	Limulidae	Limulus	Limulus polyphemus
Arthropoda	Hexanauplia	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
Arthropoda	Hexanauplia	Siphonostomatoida	Caligidae	Lepeophtheirus	Lepeophtheirus salmonis
Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia magna
Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria
Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulex
Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella	Hyalella azteca
Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus	Portunus trituberculatus
Arthropoda	Malacostraca	Decapoda	Cambaridae	Procambarus	Procambarus clarkii
Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus chinensis
Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus japonicus
Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus monodon
Arthropoda	Arachnida	Scorpiones	Buthidae	Centruroides	Centruroides sculpturatus
Arthropoda	Arachnida	Trombidiformes	Tetranychidae	Tetranychus	Tetranychus urticae
Arthropoda	Arachnida	Sarcoptiformes	Pyroglyphidae	Dermatophagoides	Dermatophagoides pteronyssinus
Arthropoda	Arachnida	Araneae	Eresidae	Stegodyphus	Stegodyphus dumicola
Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	Parasteatoda tepidariorum
Arthropoda	Arachnida	Mesostigmata	Phytoseiidae	Galendromus	Galendromus occidentalis
Arthropoda	Arachnida	Mesostigmata	Varroidae	Varroa	Varroa destructor
Arthropoda	Arachnida	Mesostigmata	Varroidae	Varroa	Varroa jacobsoni
Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	Ixodes scapularis
Arthropoda	Arachnida	Ixodida	Ixodidae	Dermacentor	Dermacentor silvarum
Arthropoda	Arachnida	Ixodida	Ixodidae	Dermacentor	Dermacentor andersoni
Arthropoda	Arachnida	Ixodida	Ixodidae	Rhipicephalus	Rhipicephalus sanguineus
Arthropoda	Arachnida	Ixodida	Ixodidae	Rhipicephalus	Rhipicephalus microplus
Arthropoda	Insecta	Odonata	Coenagrionidae	Ischnura	Ischnura elegans
Arthropoda	Insecta	Neuroptera	Chrysopidae	Chrysoperla	Chrysoperla carnea
Arthropoda	Insecta	Siphonaptera	Pulicidae	Ctenocephalides	Ctenocephalides felis
Arthropoda	Insecta	Thysanoptera	Thripidae	Thrips	Thrips palmi
Arthropoda	Insecta	Thysanoptera	Thripidae	Frankliniella	Frankliniella occidentalis
Arthropoda	Insecta	Blattodea	Termopsidae	Zootermopsis	Zootermopsis nevadensis
Arthropoda	Insecta	Blattodea	Kalotermitidae	Cryptotermes	Cryptotermes secundus
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca serialis	Schistocerca serialis cubense
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca cancellata
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca piceifrons
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca nitens
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca gregaria
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca americana
Arthropoda	Insecta	Coleoptera	Buprestidae	Agrilus	Agrilus planipennis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplophora	Anoplophora glabripennis
Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus taurus
Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida
Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus	Nicrophorus vespilloides
Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis
