Acanthisitta chloris
Acanthopagrus latus
Accipiter gentilis
Acipenser ruthenus
Acromyrmex echinatior
Acropora digitifera
Acropora millepora
Actinia tenebrosa
Acyrthosiphon pisum
Adelges cooleyi
Aedes aegypti
Aedes albopictus
Aethina tumida
Agrilus planipennis
Ailuropoda melanoleuca
Alligator mississippiensis
Alligator sinensis
Alosa alosa
Alosa sapidissima
Amblyraja radiata
Amphimedon queenslandica
Amphiprion ocellaris
Amyelois transitella
Anabas testudineus
Anarrhichthys ocellatus
Anas platyrhynchos
Anguilla anguilla
Anneissia japonica
Anolis carolinensis
Anopheles albimanus
Anopheles aquasalis
Anopheles arabiensis
Anopheles coluzzii
Anopheles darlingi
Anopheles funestus
Anopheles gambiae str. PEST
Anopheles maculipalpis
Anopheles merus
Anopheles stephensi
Anoplophora glabripennis
Anser cygnoides
Anthonomus grandis grandis
Antrostomus carolinensis
Aotus nancymaae
Apaloderma vittatum
Aphidius gifuensis
Aphis gossypii
Apis cerana
Apis dorsata
Apis florea
Apis laboriosa
Apis mellifera
Aplysia californica
Aptenodytes forsteri
Apteryx rowi
Aquila chrysaetos chrysaetos
Archocentrus centrarchus
Aricia agestis
Arvicanthis niloticus
Arvicola amphibius
Astatotilapia calliptera
Astyanax mexicanus
Athalia rosae
Athene cunicularia
Atta cephalotes
Atta colombica
Austrofundulus limnaeus
Aythya fuligula
Bactrocera dorsalis
Bactrocera latifrons
Bactrocera neohumeralis
Bactrocera oleae
Bactrocera tryoni
Balaenoptera acutorostrata scammoni
Balaenoptera musculus
Balearica regulorum gibbericeps
Belonocnema kinseyi
Bemisia tabaci
Betta splendens
Bison bison bison
Boleophthalmus pectinirostris
Bombus bifarius
Bombus huntii
Bombus impatiens
Bombus pyrosoma
Bombus terrestris
Bombus vancouverensis nearcticus
Bombus vosnesenskii
Bombyx mandarina
Bombyx mori
Bos indicus
Bos indicus x Bos taurus
Bos mutus
Bos taurus
Bradysia coprophila
Branchiostoma belcheri
Branchiostoma floridae
Brienomyrus brachyistius
Brugia malayi
Bubalus bubalis
Buceros rhinoceros silvestris
Bufo bufo
Bufo gargarizans
Caenorhabditis briggsae
Calidris pugnax
Callithrix jacchus
Callorhinchus milii
Callorhinus ursinus
Calypte anna
Camarhynchus parvulus
Camelus bactrianus
Camelus dromedarius
Camelus ferus
Camponotus floridanus
Canis lupus dingo
Canis lupus familiaris
Capra hircus
Carassius auratus
Carcharodon carcharias
Caretta caretta
Cariama cristata
Carlito syrichta
Castor canadensis
Cataglyphis hispanica
Catharus ustulatus
Cavia porcellus
Cebus imitator
Centrocercus urophasianus
Centruroides sculpturatus
Cephus cinctus
Ceratina calcarata
Ceratitis capitata
Ceratosolen solmsi marchali
Ceratotherium simum simum
Cercocebus atys
Cervus canadensis
Cervus elaphus
Chaetura pelagica
Chanos chanos
Charadrius vociferus
Cheilinus undulatus
Chelmon rostratus
Chelonia mydas
Chelonoidis abingdonii
Chelonus insularis
Chiloscyllium plagiosum
Chinchilla lanigera
Chiroxiphia lanceolata
Chlamydotis macqueenii
Chlorocebus sabaeus
Choloepus didactylus
Chrysemys picta bellii
Chrysochloris asiatica
Chrysoperla carnea
Cimex lectularius
Ciona intestinalis
Clupea harengus
Coccinella septempunctata
Colias croceus
Colius striatus
Colletes gigas
Colobus angolensis palliatus
Colossoma macropomum
Columba livia
Condylura cristata
Contarinia nasturtii
Copidosoma floridanum
Corapipo altera
Coregonus clupeaformis
Corvus brachyrhynchos
Corvus cornix cornix
Corvus hawaiiensis
Corvus kubaryi
Corvus moneduloides
Cotesia glomerata
Cottoperca gobio
Coturnix japonica
Crassostrea gigas
Crassostrea virginica
Cricetulus griseus
Crocodylus porosus
Cryptotermes secundus
Ctenocephalides felis
Cuculus canorus
Culex pipiens pallens
Culex quinquefasciatus
Cyanistes caeruleus
Cyclopterus lumpus
Cygnus atratus
Cygnus olor
Cynoglossus semilaevis
Cyphomyrmex costatus
Cyprinodon variegatus
Cyprinus carpio
Daktulosphaira vitifoliae
Danaus plexippus plexippus
Danio rerio
Daphnia magna
Daphnia pulex
Daphnia pulicaria
Dasypus novemcinctus
Delphinapterus leucas
Dendroctonus ponderosae
Denticeps clupeoides
Dermacentor andersoni
Dermacentor silvarum
Dermatophagoides pteronyssinus
Dermochelys coriacea
Desmodus rotundus
Diabrotica virgifera virgifera
Diachasma alloeum
Diaphorina citri
Dinoponera quadriceps
Dipodomys ordii
Diprion similis
Diuraphis noxia
Dromaius novaehollandiae
Dromiciops gliroides
Drosophila albomicans
Drosophila ananassae
Drosophila arizonae
Drosophila busckii
Drosophila guanche
Drosophila innubila
Drosophila mauritiana
Drosophila melanogaster
Drosophila miranda
Drosophila navojoa
Drosophila pseudoobscura
Drosophila santomea
Drosophila sechellia
Drosophila simulans
Drosophila subobscura
Drosophila subpulchrella
Drosophila suzukii
Drosophila teissieri
Drosophila willistoni
Drosophila yakuba
Dryobates pubescens
Dufourea novaeangliae
Echeneis naucrates
Echinops telfairi
Egretta garzetta
Electrophorus electricus
Elephantulus edwardii
Elephas maximus indicus
Empidonax traillii
Enhydra lutris kenyoni
Epinephelus fuscoguttatus
Epinephelus lanceolatus
Epinephelus moara
Eptesicus fuscus
Equus asinus
Equus caballus
Equus przewalskii
Equus quagga
Erinaceus europaeus
Erpetoichthys calabaricus
Esox lucius
Etheostoma cragini
Etheostoma spectabile
Eufriesea mexicana
Eumetopias jubatus
Eurypyga helias
Eurytemora affinis
Exaiptasia diaphana
Falco cherrug
Falco naumanni
Falco peregrinus
Falco rusticolus
Felis catus
Ficedula albicollis
Folsomia candida
Fopius arisanus
Formica exsecta
Frankliniella occidentalis
Frieseomelitta varia
Fukomys damarensis
Fulmarus glacialis
Fundulus heteroclitus
Gadus morhua
Galendromus occidentalis
Galeopterus variegatus
Gallus gallus
Gambusia affinis
Gasterosteus aculeatus aculeatus
Gavia stellata
Gavialis gangeticus
Gekko japonicus
Geospiza fortis
Geotrypetes seraphini
Gigantopelta aegis
Girardinichthys multiradiatus
Globicephala melas
Glossina fuscipes
Gopherus evgoodei
Gorilla gorilla gorilla
Gouania willdenowi
Gracilinanus agilis
Grammomys surdaster
Gymnodraco acuticeps
Habropoda laboriosa
Haliaeetus albicilla
Haliaeetus leucocephalus
Halichoerus grypus
Haliotis rubra
Haliotis rufescens
Halyomorpha halys
Haplochromis burtoni
Harmonia axyridis
Harpegnathos saltator
Helicoverpa armigera
Helicoverpa zea
Helobdella robusta
Hermetia illucens
Heterocephalus glaber
Hippocampus comes
Hippoglossus hippoglossus
Hippoglossus stenolepis
Hipposideros armiger
Hirundo rustica
Homalodisca vitripennis
Homarus americanus
Homo sapiens
Hyaena hyaena
Hyalella azteca
Hydra vulgaris
Hylobates moloch
Hypomesus transpacificus
Hyposmocoma kahamanoa
Ictalurus punctatus
Ictidomys tridecemlineatus
Ischnura elegans
Ixodes scapularis
Jaculus jaculus
Kryptolebias marmoratus
Labrus bergylta
Lacerta agilis
Lagenorhynchus obliquidens
Lagopus leucura
Lagopus muta
Larimichthys crocea
Lates calcarifer
Latimeria chalumnae
Leguminivora glycinivorella
Lemur catta
Leopardus geoffroyi
Lepeophtheirus salmonis
Lepidothrix coronata
Lepisosteus oculatus
Leptinotarsa decemlineata
Leptonychotes weddellii
Leptosomus discolor
Limulus polyphemus
Linepithema humile
Lingula anatina
Lipotes vexillifer
Loa loa
Lonchura striata domestica
Lontra canadensis
Lottia gigantea
Loxodonta africana
Lucilia cuprina
Lutra lutra
Lynx canadensis
Lynx rufus
Macaca fascicularis
Macaca mulatta
Macaca nemestrina
Manacus vitellinus
Mandrillus leucophaeus
Manduca sexta
Maniola hyperantus
Maniola jurtina
Manis javanica
Manis pentadactyla
Marmota flaviventris
Marmota marmota marmota
Marmota monax
Mastacembelus armatus
Mastomys coucha
Mauremys mutica
Mauremys reevesii
Maylandia zebra
Megachile rotundata
Megalobrama amblycephala
Megalops cyprinoides
Megalopta genalis
Melanaphis sacchari
Melanotaenia boesemani
Meleagris gallopavo
Meles meles
Melitaea cinxia
Melopsittacus undulatus
Meriones unguiculatus
Merops nubicus
Mesitornis unicolor
Mesocricetus auratus
Microcaecilia unicolor
Microcebus murinus
Micropterus dolomieu
Micropterus salmoides
Microtus fortis
Microtus ochrogaster
Miniopterus natalensis
Mirounga angustirostris
Mirounga leonina
Mizuhopecten yessoensis
Molossus molossus
Molothrus ater
Monodelphis domestica
Monodon monoceros
Monomorium pharaonis
Monopterus albus
Morone saxatilis
Motacilla alba alba
Mugil cephalus
Mus caroli
Mus musculus
Mus pahari
Musca domestica
Mustela erminea
Myiozetetes cayanensis
Myodes glareolus
Myotis brandtii
Myotis davidii
Myotis lucifugus
Myotis myotis
Myripristis murdjan
Myzus persicae
Nannospalax galili
Nanorana parkeri
Nasonia vitripennis
Necator americanus
Nematolebias whitei
Nematostella vectensis
Neodiprion fabricii
Neodiprion lecontei
Neodiprion pinetum
Neodiprion virginianus
Neogale vison
Neolamprologus brichardi
Neomonachus schauinslandi
Neopelma chrysocephalum
Neophocaena asiaeorientalis asiaeorientalis
Neosciurus carolinensis
Nestor notabilis
Nicrophorus vespilloides
Nilaparvata lugens
Nipponia nippon
Nomascus leucogenys
Nomia melanderi
Notechis scutatus
Nothobranchius furzeri
Nothoprocta perdicaria
Notolabrus celidotus
Notothenia coriiceps
Numida meleagris
Nylanderia fulva
Nymphalis io
Ochotona curzoniae
Ochotona princeps
Octodon degus
Octopus bimaculoides
Octopus sinensis
Odobenus rosmarus divergens
Odocoileus virginianus texanus
Odontomachus brunneus
Oncorhynchus gorbuscha
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Oncorhynchus tshawytscha
Onthophagus taurus
Onychomys torridus
Onychostruthus taczanowskii
Ooceraea biroi
Opisthocomus hoazin
Orbicella faveolata
Orcinus orca
Oreochromis aureus
Oreochromis niloticus
Ornithorhynchus anatinus
Orussus abietinus
Orycteropus afer afer
Oryx dammah
Oryzias latipes
Oryzias melastigma
Osmia bicornis bicornis
Ostrea edulis
Otolemur garnettii
Ovis aries
Oxyura jamaicensis
Pan paniscus
Pan troglodytes
Panthera leo
Panthera pardus
Panthera tigris
